,k=1,k=2,k=3,k=4,k=5,k=6,k=7,k=8,k=9,k=10
0,0.04,0.080008163,0.123577959,0.156762449,0.176642449,0.18893551,0.194116735,0.194490612,0.192800816,0.19006449
0.01010101,0.04,0.079905629,0.122727479,0.155780311,0.17563528,0.188042164,0.19326551,0.193633497,0.192064028,0.189347869
0.02020202,0.04,0.079797563,0.122037712,0.154974258,0.174736605,0.18722313,0.192503571,0.192900702,0.191496693,0.188749308
0.03030303,0.04,0.079661943,0.12137,0.154177137,0.17389228,0.186377897,0.191749505,0.192177914,0.190933897,0.188164407
0.04040404,0.04,0.079487098,0.120703847,0.153367963,0.173032704,0.185577279,0.190992716,0.191454454,0.190368392,0.187595008
0.050505051,0.04,0.079248021,0.120044133,0.152546279,0.172157576,0.184703317,0.190218616,0.190731701,0.189791698,0.187039874
0.060606061,0.04,0.078966302,0.119277091,0.151704075,0.171262038,0.18381458,0.189412413,0.189982908,0.18920756,0.186479847
0.070707071,0.04,0.078701508,0.118390862,0.150828149,0.170262114,0.182865392,0.188595611,0.189216916,0.188602547,0.185903764
0.080808081,0.04,0.07843809,0.117623377,0.149854831,0.169230359,0.181962095,0.187731051,0.188425051,0.187923155,0.18528239
0.090909091,0.04,0.078187341,0.116932461,0.148847042,0.168191233,0.180973801,0.186788674,0.187543907,0.187209407,0.184643003
0.101010101,0.04,0.077943422,0.1162862,0.147880175,0.167079349,0.17989466,0.185835543,0.186660283,0.186442825,0.18394036
0.111111111,0.04,0.077710928,0.115604732,0.147027114,0.165895606,0.178804899,0.184790598,0.185678162,0.185631296,0.183206479
0.121212121,0.04,0.077482566,0.114886315,0.146168698,0.164813083,0.177667485,0.183724687,0.184648766,0.184748278,0.182347044
0.131313131,0.04,0.077259539,0.114128071,0.145201836,0.163758238,0.176503501,0.182655551,0.183596269,0.183805881,0.181458398
0.141414141,0.04,0.077027268,0.113457406,0.144249531,0.162718803,0.17538462,0.181540843,0.182493564,0.182783015,0.18047158
0.151515152,0.04,0.076793144,0.112858052,0.143380351,0.161624172,0.174293998,0.180365574,0.18136857,0.181702755,0.179411761
0.161616162,0.04,0.076560858,0.112289298,0.142503056,0.160574176,0.173178864,0.179144307,0.180214959,0.180592236,0.178297811
0.171717172,0.04,0.076330295,0.111671966,0.141603267,0.159557864,0.171935795,0.177882745,0.178995912,0.179504473,0.177124715
0.181818182,0.04,0.076099562,0.11104917,0.140642971,0.158575451,0.170659872,0.176593893,0.177764784,0.17833352,0.175880302
0.191919192,0.04,0.075864409,0.110421049,0.139670424,0.15748918,0.169428315,0.175330921,0.176557139,0.177068164,0.174649564
0.202020202,0.04,0.075622586,0.109788884,0.138801301,0.156429454,0.168213485,0.174025201,0.175372091,0.175831275,0.173471697
0.212121212,0.04,0.075382607,0.109197039,0.137972527,0.155355244,0.167012561,0.172688277,0.174129925,0.174640807,0.172331241
0.222222222,0.04,0.075139823,0.108567811,0.13712088,0.154317471,0.165892084,0.171342136,0.172841117,0.173523158,0.171214544
0.232323232,0.04,0.074887369,0.107961798,0.136251229,0.153254643,0.1647879,0.170055482,0.171572045,0.172351525,0.170094772
0.242424242,0.04,0.07463231,0.107408592,0.135372795,0.152243297,0.163686652,0.168791809,0.170373252,0.171177742,0.168945195
0.252525253,0.04,0.074377505,0.106864392,0.134500896,0.151216754,0.162573329,0.167557921,0.169134256,0.170024681,0.167754201
0.262626263,0.04,0.074117882,0.106299087,0.13364733,0.150200267,0.161481911,0.166407794,0.167874319,0.168873116,0.16658659
0.272727273,0.04,0.073856336,0.105713885,0.132748271,0.149178798,0.160346069,0.16529508,0.166678358,0.1677055,0.16547818
0.282828283,0.04,0.073587282,0.105110749,0.131812497,0.148144972,0.159194336,0.164196434,0.165504773,0.166518908,0.164396712
0.292929293,0.04,0.07331722,0.104471255,0.130906731,0.14714535,0.158117931,0.163110785,0.164428895,0.165404986,0.163357904
0.303030303,0.04,0.073041416,0.103853249,0.130051663,0.146207832,0.157083267,0.162064923,0.163442659,0.164355697,0.16236992
0.313131313,0.04,0.072765625,0.103280995,0.129189738,0.145257744,0.156084854,0.161031304,0.162493136,0.163317663,0.161393223
0.323232323,0.04,0.072486242,0.102724783,0.128322828,0.144287171,0.155130153,0.160011895,0.161540827,0.162318609,0.160414631
0.333333333,0.04,0.072208631,0.102175227,0.127444479,0.143285003,0.15416702,0.159054266,0.16060304,0.16135658,0.159446326
0.343434343,0.04,0.071924219,0.10160354,0.12658019,0.142342027,0.153233622,0.158088839,0.159686722,0.160408692,0.158542152
0.353535354,0.04,0.07163513,0.101030915,0.125758745,0.141438736,0.152296063,0.157139287,0.158786046,0.159487823,0.157681383
0.363636364,0.04,0.071342736,0.100410458,0.124913433,0.140551884,0.151345348,0.156181446,0.157931655,0.15858255,0.156848265
0.373737374,0.04,0.071047458,0.099747773,0.124049393,0.139648584,0.150402062,0.155270011,0.157070778,0.157718595,0.15607259
0.383838384,0.04,0.070751406,0.099131305,0.123183043,0.138778965,0.149448406,0.154416965,0.156248919,0.15688843,0.155316492
0.393939394,0.04,0.07045208,0.098541803,0.122301794,0.137851704,0.148508224,0.153551076,0.15548429,0.156088252,0.154614698
0.404040404,0.04,0.070150096,0.097936292,0.121400973,0.136967744,0.14754953,0.152714773,0.154740484,0.155280783,0.153889909
0.414141414,0.04,0.069840809,0.09730287,0.120515436,0.136105219,0.146629805,0.151909902,0.154007526,0.154474736,0.153183247
0.424242424,0.04,0.069525884,0.096594397,0.119618156,0.135275653,0.145714528,0.151081885,0.153267001,0.153694939,0.152508429
0.434343434,0.04,0.06920421,0.09581141,0.118737639,0.134425007,0.144836075,0.150258408,0.152511805,0.152934801,0.151828572
0.444444444,0.04,0.068878092,0.095054805,0.117849961,0.133570028,0.143959829,0.14945844,0.151791027,0.152215703,0.15117364
0.454545455,0.04,0.068549129,0.094230458,0.116994844,0.132721385,0.143110568,0.148683388,0.151075825,0.151504335,0.150517128
0.464646465,0.04,0.068213377,0.093364445,0.116155207,0.1319101,0.142287403,0.147919356,0.150351099,0.150760304,0.149871408
0.474747475,0.04,0.067877446,0.092521342,0.115277564,0.131121559,0.141501123,0.147165384,0.149621032,0.15000023,0.149238527
0.484848485,0.04,0.067534184,0.091744037,0.114420439,0.130312324,0.14069554,0.14641004,0.148900101,0.14925692,0.148584761
0.494949495,0.04,0.067184419,0.090962629,0.113510213,0.129466232,0.139903969,0.145630661,0.148173825,0.148525137,0.14790016
0.505050505,0.04,0.066831735,0.090280719,0.112619907,0.128648849,0.13905179,0.144829799,0.147429475,0.147784058,0.147224088
0.515151515,0.04,0.066471774,0.089652468,0.11173093,0.127802658,0.138171303,0.143985088,0.146665717,0.147047464,0.146526442
0.525252525,0.04,0.06610892,0.089017412,0.110888643,0.126984725,0.137313901,0.143148781,0.145870267,0.146288472,0.145811447
0.535353535,0.04,0.06573997,0.088391594,0.110096486,0.126200291,0.136441324,0.142311493,0.145059202,0.145513447,0.145102469
0.545454545,0.04,0.065368967,0.087769408,0.109320237,0.125382551,0.135572919,0.14148187,0.144224311,0.144713266,0.144372232
0.555555556,0.04,0.065000995,0.087184263,0.10856502,0.124537207,0.134690047,0.140657041,0.143368205,0.143900004,0.143625746
0.565656566,0.04,0.064627039,0.086623399,0.107813094,0.123719605,0.133821874,0.139787317,0.142457859,0.143068309,0.142867272
0.575757576,0.04,0.064244987,0.086054747,0.107055587,0.122860403,0.132921907,0.138877097,0.141514708,0.142193346,0.142082602
0.585858586,0.04,0.063856539,0.085451725,0.106284217,0.121969404,0.131982857,0.137942181,0.140551729,0.141300897,0.1412362
0.595959596,0.04,0.063459414,0.084838063,0.105486882,0.121059211,0.131003598,0.136963016,0.139578675,0.140381718,0.140391588
0.606060606,0.04,0.063061731,0.084211193,0.104654121,0.120112178,0.13003227,0.135984425,0.138584832,0.13944449,0.139470351
0.616161616,0.04,0.062649317,0.083565398,0.103811637,0.119169996,0.128994236,0.134972979,0.137570477,0.138495623,0.138478076
0.626262626,0.04,0.062236198,0.08291564,0.102951094,0.118188912,0.127934022,0.133905475,0.13651187,0.137490571,0.137475125
0.636363636,0.04,0.061812657,0.082260528,0.102089234,0.117176317,0.126833255,0.132825502,0.135442569,0.136451809,0.136438118
0.646464646,0.04,0.06138692,0.081576848,0.10120535,0.116131043,0.125692713,0.131698164,0.134332183,0.135382232,0.135375301
0.656565657,0.04,0.060957408,0.080875651,0.100312544,0.115053234,0.124526878,0.130546502,0.133182972,0.134276319,0.134270397
0.666666667,0.04,0.060516971,0.08015435,0.099420355,0.113935858,0.123272864,0.129294458,0.131974185,0.133077082,0.133143508
0.676767677,0.04,0.06006832,0.079437206,0.098463117,0.112790689,0.121959182,0.128038312,0.130694283,0.131796671,0.131969464
0.686868687,0.04,0.059610063,0.078710878,0.097429633,0.111604016,0.120612394,0.126690787,0.129317264,0.130506272,0.130760286
0.696969697,0.04,0.059145603,0.077936928,0.09636249,0.110362812,0.119268307,0.12522214,0.127932235,0.129171345,0.129515065
0.707070707,0.04,0.058669491,0.077180226,0.095311997,0.109084367,0.117818513,0.123735038,0.126471843,0.127775214,0.128178086
0.717171717,0.04,0.058196502,0.0764028,0.094209751,0.107685222,0.116338322,0.12222742,0.124977802,0.126299682,0.1267545
0.727272727,0.04,0.057703497,0.075569167,0.093054479,0.106241549,0.114812128,0.120626027,0.123395733,0.124745486,0.125231776
