,k=1,k=2,k=3,k=4,k=5,k=6,k=7,k=8,k=9,k=10
0,0.02,0.040008485,0.067383838,0.087632929,0.098653131,0.108247475,0.114697778,0.119425051,0.12145798,0.122259596
0.01010101,0.02,0.039959806,0.066831111,0.086966965,0.097977222,0.107534656,0.114070663,0.118822125,0.120995607,0.121798823
0.02020202,0.02,0.039883594,0.066266021,0.086372237,0.097362957,0.10696155,0.11357426,0.118301528,0.120583215,0.121405774
0.03030303,0.02,0.039764276,0.065676581,0.085783381,0.096735418,0.106408489,0.113074236,0.117758259,0.120200931,0.12100968
0.04040404,0.02,0.039641014,0.065131123,0.085120557,0.096128303,0.105769974,0.11254641,0.117230278,0.11977429,0.120604422
0.050505051,0.02,0.039525345,0.064553755,0.0844136,0.0954579,0.105169725,0.112025294,0.11670976,0.119307264,0.120180482
0.060606061,0.02,0.039411882,0.06398583,0.083751844,0.094818499,0.104512376,0.111459288,0.11618894,0.118784301,0.119742226
0.070707071,0.02,0.039300319,0.063397291,0.083040822,0.094164785,0.103841149,0.11086883,0.115611486,0.118172325,0.119194878
0.080808081,0.02,0.039191706,0.062860575,0.082409876,0.093520897,0.10320807,0.110273279,0.114998848,0.117576308,0.118593103
0.090909091,0.02,0.039083551,0.062341478,0.08176688,0.09284999,0.102580623,0.109613443,0.114318916,0.116943913,0.11798543
0.101010101,0.02,0.038974229,0.06186921,0.081159393,0.092156932,0.101901202,0.108911435,0.113630614,0.11624342,0.117357888
0.111111111,0.02,0.038865277,0.061367575,0.080541553,0.091568086,0.10118258,0.108237937,0.112935126,0.11554316,0.116639663
0.121212121,0.02,0.038755755,0.060885318,0.079943981,0.090970164,0.10046709,0.107551199,0.112257042,0.114834792,0.115915353
0.131313131,0.02,0.038642731,0.060410973,0.079310909,0.090395342,0.099797248,0.106847361,0.111583925,0.114146111,0.115200484
0.141414141,0.02,0.03852692,0.059963679,0.078664182,0.089843308,0.099184274,0.106140755,0.110916151,0.113444876,0.114444276
0.151515152,0.02,0.038407972,0.059486058,0.078037855,0.089271594,0.098549725,0.105457722,0.110231614,0.11269994,0.11367647
0.161616162,0.02,0.038290045,0.059022217,0.07740069,0.088657647,0.097867335,0.104740735,0.10957178,0.111965559,0.112916477
0.171717172,0.02,0.038170851,0.058590004,0.07681102,0.08801802,0.097254922,0.104020879,0.108868609,0.111261598,0.112191483
0.181818182,0.02,0.038049067,0.058162851,0.076273554,0.087370847,0.096651719,0.103309572,0.108139733,0.11049645,0.111468753
0.191919192,0.02,0.037928353,0.057688574,0.075707228,0.086785557,0.096102609,0.102618593,0.107401262,0.109758994,0.110748035
0.202020202,0.02,0.037806007,0.057272706,0.075097982,0.086236706,0.095541163,0.101987969,0.10668192,0.109066194,0.110078324
0.212121212,0.02,0.037683181,0.056824614,0.074518476,0.085656056,0.094957898,0.10136008,0.105995225,0.108393078,0.109421713
0.222222222,0.02,0.037556546,0.056414876,0.073974623,0.08507922,0.094351166,0.100728318,0.105286002,0.107742915,0.108812559
0.232323232,0.02,0.03742712,0.055993821,0.073428742,0.084529129,0.093744718,0.100133988,0.104639353,0.107135349,0.108208814
0.242424242,0.02,0.037298413,0.055597242,0.072864068,0.083950654,0.093132434,0.099582366,0.104016006,0.106587265,0.107658788
0.252525253,0.02,0.037168477,0.055213283,0.072322407,0.083383552,0.092526404,0.099039247,0.103413314,0.106040858,0.107106079
0.262626263,0.02,0.037037295,0.054819538,0.071787934,0.082848405,0.09195529,0.098482719,0.102833701,0.105493396,0.106548248
0.272727273,0.02,0.036903744,0.054399048,0.071232901,0.08230039,0.091409679,0.097907892,0.102283295,0.104954263,0.106020933
0.282828283,0.02,0.036770206,0.05402,0.070658858,0.081735756,0.09083989,0.097413408,0.101734292,0.104428079,0.105511531
0.292929293,0.02,0.036635209,0.05366051,0.070105672,0.081179985,0.090295857,0.096939887,0.101213914,0.103926627,0.105031277
0.303030303,0.02,0.036498125,0.053268028,0.069549578,0.080616005,0.089731989,0.096469052,0.100692433,0.103431674,0.104584456
0.313131313,0.02,0.036361285,0.052875278,0.068977919,0.080051053,0.089138905,0.095980215,0.100158328,0.102953432,0.104149967
0.323232323,0.02,0.03621881,0.052502125,0.068367464,0.079505006,0.088567223,0.095442698,0.099616349,0.10249456,0.103726214
0.333333333,0.02,0.036071829,0.052147135,0.067809388,0.078984548,0.088019691,0.094901953,0.099124546,0.102048529,0.103312718
0.343434343,0.02,0.035927259,0.051814941,0.067281887,0.078467082,0.087469194,0.094384529,0.098636332,0.101609808,0.102890381
0.353535354,0.02,0.035781666,0.05148756,0.066713326,0.07794578,0.086928249,0.093852436,0.098183395,0.101197304,0.102510277
0.363636364,0.02,0.035636006,0.051150051,0.066140395,0.077438218,0.086393498,0.093348643,0.09773906,0.100803274,0.102158571
0.373737374,0.02,0.035485478,0.050825866,0.065610753,0.07691637,0.085854058,0.092868094,0.097320902,0.100402485,0.101788954
0.383838384,0.02,0.035331583,0.050497771,0.06509893,0.076376076,0.085385261,0.092367247,0.096878393,0.100011114,0.101428791
0.393939394,0.02,0.035174756,0.050164662,0.064616236,0.075847851,0.084884862,0.09190451,0.096431021,0.099635536,0.101069998
